run_id,iteration,individual_idx,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,feat_30,feat_31,feat_32,feat_33,feat_34,feat_35,feat_36,feat_37,feat_38,feat_39,feat_40,feat_41,feat_42,feat_43,feat_44,feat_45,feat_46,feat_47,feat_48,feat_49,feat_50,feat_51,feat_52,feat_53,feat_54,feat_55,feat_56,feat_57,feat_58,feat_59,feat_60,feat_61,feat_62,feat_63,feat_64,feat_65,feat_66,feat_67,feat_68,feat_69,feat_70,feat_71,feat_72,feat_73,feat_74,feat_75,feat_76,feat_77,feat_78,feat_79,feat_80,feat_81,feat_82,feat_83,feat_84,feat_85,feat_86,feat_87,feat_88,feat_89,feat_90,feat_91,feat_92,feat_93,feat_94,feat_95,feat_96,feat_97,feat_98,feat_99,feat_100,feat_101,feat_102,feat_103,feat_104,feat_105,feat_106,feat_107,feat_108,feat_109,feat_110,feat_111,feat_112,feat_113,feat_114,feat_115,feat_116,feat_117,feat_118,class_weight_power,focal_gamma,learning_rate,dropout,hidden_size,num_layers,weight_decay,label_smoothing,batch_size,scheduler_patience,input_seq_length,class_weight_power_lower,focal_gamma_lower,learning_rate_lower,dropout_lower,hidden_size_lower,num_layers_lower,weight_decay_lower,label_smoothing_lower,batch_size_lower,scheduler_patience_lower,input_seq_length_lower,class_weight_power_upper,focal_gamma_upper,learning_rate_upper,dropout_upper,hidden_size_upper,num_layers_upper,weight_decay_upper,label_smoothing_upper,batch_size_upper,scheduler_patience_upper,input_seq_length_upper,pop_size,iterations,n_workers,min_features,epochs_per_eval,np_neighbors,pf_max,elitist_selection,elitist_constant,fitness
aeab1b8f,-1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,0,0,1,0,0,0,1,1,0,1,1,0,0,1,1,1,0,0,1,1,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0.3756736880829833,1.7966523265269307,0.0002912251733571019,0.2513158429072738,223.9141497065313,3.9152879452869156,0.011162237166492783,0.006403982639513006,33.38405158258269,10.970350660653772,12.0,0.3,1.0,5e-05,0.1,128,2,0.0005,0.0,32,5,12,0.8,3.0,0.002,0.45,384,4,0.015,0.15,128,15,12,10,50,15,5,100,1,0.15,True,0.3,-0.006212795482661968
aeab1b8f,-1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,1,0,1,0,1,1,0,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1,1,0,1,0,0.420005602173358,2.4324883536151987,0.00014271530980917462,0.15490109004159222,250.23333409957166,3.2864277666353874,0.010365438897208324,0.029907895066719606,70.43026338067904,9.728906296806372,12.0,0.3,1.0,5e-05,0.1,128,2,0.0005,0.0,32,5,12,0.8,3.0,0.002,0.45,384,4,0.015,0.15,128,15,12,10,50,15,5,100,1,0.15,True,0.3,-0.0
aeab1b8f,-1,2,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0.7494023654091753,1.8844754450521108,0.0016589759223445506,0.3055271041069486,264.99613312271504,3.9277931458157824,0.013919586502364866,0.12654856619835647,47.2843694722563,8.572654609260967,12.0,0.3,1.0,5e-05,0.1,128,2,0.0005,0.0,32,5,12,0.8,3.0,0.002,0.45,384,4,0.015,0.15,128,15,12,10,50,15,5,100,1,0.15,True,0.3,-0.0
aeab1b8f,-1,3,0,0,0,1,1,0,0,1,0,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,0,1,0.3866491082315131,2.7198148231818555,0.0019838049562203443,0.2652772935818428,291.33519033468326,2.8899413737403905,0.0020594621565494997,0.12367415106303398,114.12310732569227,8.210789607871773,12.0,0.3,1.0,5e-05,0.1,128,2,0.0005,0.0,32,5,12,0.8,3.0,0.002,0.45,384,4,0.015,0.15,128,15,12,10,50,15,5,100,1,0.15,True,0.3,-0.3645870709613364
aeab1b8f,-1,4,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,1,1,0,1,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0.5230008105505055,2.1839702616659813,0.00034074024663187797,0.286858522748059,191.17953086991596,3.8982320273659097,0.006869139526316714,0.0732665056293823,87.82950445602508,8.965079289515362,12.0,0.3,1.0,5e-05,0.1,128,2,0.0005,0.0,32,5,12,0.8,3.0,0.002,0.45,384,4,0.015,0.15,128,15,12,10,50,15,5,100,1,0.15,True,0.3,-0.008202554456102962
aeab1b8f,-1,5,1,1,1,0,1,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0.3423637293808562,1.5656922912910798,0.0017185370333780425,0.37385182288996077,316.4027340406434,2.4699391139892093,0.010117810491975968,0.09624411929795591,37.835776943867046,9.88807326575949,12.0,0.3,1.0,5e-05,0.1,128,2,0.0005,0.0,32,5,12,0.8,3.0,0.002,0.45,384,4,0.015,0.15,128,15,12,10,50,15,5,100,1,0.15,True,0.3,-0.0
aeab1b8f,-1,6,0,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,1,1,1,0,1,0,1,0,1,1,1,0,0.6172410005214364,1.5990866424246384,0.0017843772259442832,0.19836629000813866,224.15246522610158,3.247570350210159,0.012887258018161879,0.14504225913977792,122.36871302987086,6.168409226010382,12.0,0.3,1.0,5e-05,0.1,128,2,0.0005,0.0,32,5,12,0.8,3.0,0.002,0.45,384,4,0.015,0.15,128,15,12,10,50,15,5,100,1,0.15,True,0.3,-0.1858337371333952
aeab1b8f,-1,7,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0.6773543953043684,1.3568791494777883,0.0010595925408457957,0.3539896557497123,219.96747328044876,2.7705794443522884,0.006869619734257917,0.08856682598234701,95.36575231916478,11.429467456715297,12.0,0.3,1.0,5e-05,0.1,128,2,0.0005,0.0,32,5,12,0.8,3.0,0.002,0.45,384,4,0.015,0.15,128,15,12,10,50,15,5,100,1,0.15,True,0.3,-0.3038879653789206
aeab1b8f,-1,8,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0.7386695868257941,2.7511087727548005,0.000798313303928619,0.35097144858447604,133.04723232574727,2.862390755173668,0.010133170475315641,0.045211759618605005,67.66455293738633,9.464669691473581,12.0,0.3,1.0,5e-05,0.1,128,2,0.0005,0.0,32,5,12,0.8,3.0,0.002,0.45,384,4,0.015,0.15,128,15,12,10,50,15,5,100,1,0.15,True,0.3,-0.2172854112265897
aeab1b8f,-1,9,0,0,1,0,1,1,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,0,0.5270764302882368,1.4668600129205291,0.0013924802797079063,0.2492956759320347,177.14032579107317,3.26113031117476,0.0007899625709924859,0.0029096582745575693,107.90428721388568,14.288565648238464,12.0,0.3,1.0,5e-05,0.1,128,2,0.0005,0.0,32,5,12,0.8,3.0,0.002,0.45,384,4,0.015,0.15,128,15,12,10,50,15,5,100,1,0.15,True,0.3,-0.013505419960198736
